#{"t_start": 1752082681.5542989, "env_id": "None"}
r,l,t,reason
0.031142,192,18944.217845,goal_reached
0.500528,150,18979.774084,goal_reached
-0.886787,283,19042.338428,no_progress
-0.496547,167,19081.267987,goal_reached
0.476495,343,19156.025842,goal_reached
1.840536,112,19183.79578,goal_reached
-3.428584,315,19252.720686,goal_reached
0.369516,252,19308.873848,goal_reached
-2.015933,147,19343.828074,collision
0.999349,125,19374.192241,goal_reached
1.294326,171,19414.030711,goal_reached
0.963773,168,19453.159255,goal_reached
0.364239,104,19479.366154,goal_reached
-3.896156,579,19601.496035,goal_reached
-4.409264,275,19662.476094,goal_reached
-3.822735,146,19697.112104,collision
1.689225,104,19723.186776,goal_reached
-2.39921,67,19741.892934,collision
1.487602,105,19768.188538,goal_reached
0.976879,147,19803.06823,goal_reached
-0.060773,195,19847.713254,goal_reached
-1.674019,174,20032.177024,collision
-3.544489,96,20056.648895,collision
1.482274,98,20081.46894,goal_reached
-4.477849,322,20151.706864,goal_reached
1.478176,66,20170.153282,goal_reached
1.100711,281,20232.088523,goal_reached
-3.66197,259,20289.722504,goal_reached
-0.289952,186,20332.502683,goal_reached
-2.8523,157,20369.429107,collision
1.673459,123,20399.392902,goal_reached
-2.608511,86,20421.967697,collision
1.412086,114,20450.108995,goal_reached
-5.586808,388,20533.843291,collision
0.078002,125,20564.137995,goal_reached
-2.516438,116,20592.751005,collision
0.005928,89,20615.797135,goal_reached
1.467063,184,20658.148401,goal_reached
1.430627,176,20698.907258,goal_reached
-3.972351,274,20759.488423,goal_reached
-5.243914,133,20791.548394,collision
1.702571,117,20820.3076,goal_reached
1.413696,137,20853.18273,goal_reached
1.75026,99,20878.376338,goal_reached
-2.254498,350,20954.370958,goal_reached
0.171273,276,21015.495338,goal_reached
-0.768542,159,21052.777889,goal_reached
0.456569,121,21082.463994,goal_reached
1.737302,99,21107.642416,goal_reached
-1.806132,376,21340.868073,goal_reached
1.319278,120,21370.223086,goal_reached
-2.075601,397,21455.903001,goal_reached
-4.80051,396,21541.274524,collision
-2.882552,60,21558.53607,collision
1.103391,207,21605.521714,goal_reached
-0.541916,328,21677.115049,goal_reached
-1.809436,212,21725.2999,collision
-4.054672,486,21828.928008,goal_reached
1.086932,159,21866.218153,goal_reached
1.060811,143,21900.304673,goal_reached
1.340835,113,21928.378867,goal_reached
1.302854,101,21953.914946,goal_reached
1.629766,91,21977.442859,goal_reached
1.001628,294,22042.109094,goal_reached
-1.840074,107,22068.904717,collision
1.026803,170,22108.349529,goal_reached
-0.107357,321,22178.534349,goal_reached
1.028345,75,22198.829731,goal_reached
-1.519845,56,22215.332502,collision
-2.946194,110,22242.800079,collision
1.122123,86,22265.243624,goal_reached
1.374092,71,22284.78444,goal_reached
-1.605205,228,22336.083459,goal_reached
1.389031,78,22357.015697,goal_reached
1.102423,171,22396.830266,goal_reached
-1.4411,35,22409.088583,collision
1.564221,98,22434.016831,goal_reached
-4.314789,427,22809.9103,goal_reached
1.497693,82,22831.676023,goal_reached
-1.951333,55,22847.942432,collision
-2.45139,55,22864.146441,collision
-0.838336,113,22892.132986,collision
1.841309,95,22916.396085,goal_reached
-1.605647,54,22932.477163,collision
1.255444,195,22976.925457,goal_reached
1.403809,184,23019.294923,goal_reached
0.989982,111,23046.909112,goal_reached
-3.011294,156,23083.726715,collision
0.222558,146,23118.349253,goal_reached
-1.904913,67,23137.07865,collision
-4.217943,135,23169.473693,collision
-4.703721,330,23241.309287,goal_reached
-8.167464,254,23297.919386,collision
0.110411,232,23350.084909,goal_reached
1.82236,104,23376.308256,goal_reached
-1.833919,358,23454.018492,no_progress
1.268139,145,23488.442567,goal_reached
-0.845934,182,23530.407044,collision
-1.228809,155,23566.723062,collision
1.224414,150,23602.140813,goal_reached
0.678535,104,23628.324801,goal_reached
1.533013,147,23663.250227,goal_reached
-3.832164,548,23779.35618,goal_reached
-1.944194,43,23793.140893,collision
-4.443638,400,23879.052754,collision
-4.981839,675,24281.453835,goal_reached
-1.745175,58,24298.352583,collision
1.149522,72,24317.955194,goal_reached
-1.033655,70,24337.26337,collision
-0.651323,226,24388.021122,goal_reached
-1.456433,127,24418.8751,collision
-2.236246,495,24524.36942,goal_reached
-4.101871,649,24660.964166,goal_reached
0.534599,149,24696.3863,goal_reached
1.263163,116,24724.998211,goal_reached
1.059099,182,24766.936933,goal_reached
1.590694,107,24793.734812,goal_reached
-0.09838,140,24827.166828,goal_reached
-2.26506,86,24849.733284,collision
-3.599244,153,24885.796112,collision
-3.528154,239,24939.205239,collision
-3.088693,195,24983.792318,collision
-0.594336,418,25073.548397,goal_reached
1.135943,127,25104.419692,goal_reached
-1.619931,126,25135.161875,collision
0.247742,277,25196.300231,goal_reached
