#{"t_start": 1749968972.9038224, "env_id": "None"}
r,l,t
-0.635302,90,12667.312983
-0.177692,58,12679.854862
-0.067493,71,12695.023765
-0.620383,24,12700.793418
-0.516215,106,12723.046776
-0.756938,74,12738.816757
-0.627413,63,12752.483397
-0.149881,127,12778.965972
-0.727241,52,12790.42632
-0.599013,59,12803.182127
-0.606905,103,12824.841434
-0.785334,94,12844.759303
-0.581373,3,12846.198885
-0.529201,38,12854.707239
-0.56277,12,12858.074398
-0.573589,177,12894.77778
-0.804552,39,12903.542475
-0.587551,44,12913.27298
-0.720496,184,13016.207065
-0.765464,114,13040.115455
-0.72091,118,13064.890133
-0.712855,9,13067.560658
-0.517428,55,13079.616948
-0.670306,120,13104.678677
-0.714298,115,13128.734657
-0.725604,66,13142.988486
-0.640051,62,13156.332755
-0.635526,114,13180.145047
-0.765902,118,13204.871339
0.790921,178,13241.636787
-0.587816,154,13273.730226
-0.556336,90,13292.73235
-0.723421,129,13319.643635
-0.74323,122,13345.284109
0.777966,167,13379.966053
0.701267,1,13381.026222
-0.516207,30,13387.952224
-0.578331,89,13406.79833
-0.674781,21,13411.934945
-0.552349,40,13420.868107
-0.555171,4,13422.535339
-0.509905,26,13428.670421
-0.558773,9,13431.344013
-0.071386,70,13446.353127
-0.158948,40,13455.258269
-0.521921,40,13464.22044
-0.615897,58,13476.894124
-0.139402,32,13484.179718
-0.537866,27,13490.608646
-0.528485,8,13493.050266
-0.541776,60,13506.040474
-0.582405,5,13507.905151
-0.515825,33,13515.401336
-0.606923,90,13534.455683
-0.64475,60,13547.535582
-0.663162,35,13555.43995
-0.560342,41,13564.537166
-0.61479,59,13577.287537
-0.597654,53,13588.822977
-0.648696,105,13610.899253
-0.715041,75,13626.965048
-0.613666,57,13639.319918
-0.609533,27,13645.619514
-0.557026,34,13653.419833
-0.536051,3,13654.906425
-0.558057,50,13665.866879
-0.573118,53,13677.391826
-0.662321,104,13699.229875
-0.644334,27,13705.523621
-0.541898,3,13706.958709
-0.51634,50,13717.900185
-0.644403,114,13741.783848
-0.691347,26,13747.91078
-0.573806,35,13755.845519
-0.59917,72,13771.252761
-0.161514,38,13779.773378
-0.50639,3,13781.267051
0.99514,150,13812.470562
-0.808087,67,13827.035337
-0.696919,123,13852.801935
-0.70494,65,13866.888508
-0.648979,62,13880.310362
-0.619187,54,13892.103207
-0.585045,9,13894.751114
-0.116634,55,13906.767986
-0.517361,10,13909.627814
-0.537623,46,13919.762909
-0.55132,98,13940.42988
-0.708043,4,13942.084207
-0.511716,69,13956.886341
-0.657,55,13968.838383
0.879537,164,14002.856856
0.807617,1,14003.891024
0.971476,163,14037.793558
0.915404,1,14038.826844
-0.536285,42,14048.171944
-0.653408,87,14066.630383
-0.171827,49,14120.028469
-0.074699,38,14128.594678
