#{"t_start": 1750414829.6659367, "env_id": "None"}
r,l,t,reason
-0.851766,175,9044.066237,collision
-1.328707,112,9069.482151,collision
-0.910887,200,9112.800285,collision
-1.545233,44,9124.589828,collision
-0.846567,45,9136.563353,collision
-0.909242,51,9149.736995,collision
-0.887369,47,9162.131503,collision
-1.012988,18,9168.616629,collision
-0.899928,3,9172.09899,collision
-0.452425,107,9196.620815,collision
-1.105541,105,9220.448169,collision
-0.76805,150,9253.761834,collision
-1.508862,42,9265.280422,collision
-0.890309,45,9277.25386,collision
-0.890146,47,9289.612621,collision
-0.943028,42,9300.995253,collision
-0.829341,53,9314.584843,collision
-0.931174,49,9327.339252,collision
-0.944237,50,9340.343016,collision
-0.876186,49,9352.795184,collision
-0.902351,48,9365.382391,collision
-0.933458,50,9378.073723,collision
-1.048905,3,9381.564378,collision
-0.313184,178,9420.54327,collision
-1.482648,64,9436.50955,collision
-0.761633,120,9463.796149,collision
-1.124706,116,9490.259599,collision
-0.950318,108,9515.180568,collision
-1.12485,276,9574.050653,collision
-1.682182,40,9585.077375,collision
-0.838541,17,9591.401178,collision
-0.790705,3,9594.884506,collision
-0.644999,48,9607.529083,collision
-0.927724,49,9620.416359,collision
-0.93147,50,9633.434063,collision
-0.889516,51,9646.614984,collision
-0.907773,47,9659.048645,collision
-1.046683,3,9662.580763,collision
1.506788,171,9700.163264,goal_reached
0.634234,182,9739.552019,goal_reached
0.674121,161,9775.007641,goal_reached
-1.560253,44,9786.777596,collision
-0.915464,82,9806.222846,collision
1.243639,184,9846.255488,goal_reached
-1.672172,5,9850.007177,collision
-0.674494,46,9862.148216,collision
-0.872661,49,9874.849155,collision
-0.914084,48,9887.495242,collision
-0.895561,49,9900.318637,collision
-0.899833,61,9915.472941,collision
-0.982431,41,9926.719859,collision
-0.901943,47,9938.999854,collision
-0.856762,48,9951.578324,collision
-0.968335,32,9960.937799,collision
-0.676947,110,9986.069466,collision
-1.165174,58,10000.773773,collision
-0.879958,62,10016.241786,collision
-0.974148,43,10027.796671,collision
-1.033498,4,10031.47161,collision
1.494264,176,10070.013397,goal_reached
-1.668932,4,10073.670873,collision
-0.806561,5,10077.595298,collision
-0.66474,61,10092.821611,collision
-0.854376,78,10111.408525,collision
-1.208366,3,10114.871153,collision
-0.681788,54,10128.821892,collision
