#{"t_start": 1749413948.8402345, "env_id": "None"}
r,l,t
-1.206186,28,33401.026413
-1.303202,37,33409.356161
-0.944886,146,33439.846273
-1.90302,34,33447.635437
-1.329334,45,33457.660421
-1.840681,118,33482.459198
-1.668701,11,33514.596333
-1.255426,47,33525.025094
-1.440637,34,33532.793046
-1.228764,3,33534.251073
-1.373736,55,33546.314285
-1.229363,5,33548.185256
-1.0574,4,33549.858621
-1.372905,76,33566.18821
-1.732524,59,33579.062965
-1.019119,145,33609.400732
-1.798919,8,33611.885018
-0.375276,42,33621.235641
-0.606215,54,33695.449893
-1.471237,50,33706.537643
-0.546811,51,33717.718111
-1.334567,54,33729.650884
-1.301259,28,33736.213083
-1.336034,31,33743.412523
-1.513886,76,33759.791687
-1.489859,14,33763.493418
-1.313147,52,33774.926425
-1.420579,26,33781.084148
-1.345754,37,33789.537601
-1.268092,18,33794.071925
-1.131272,3,33795.516169
-3.383792,306,33878.676498
-2.028717,34,33886.481673
-2.245153,106,33908.83614
-1.193523,37,33917.175842
-2.878157,254,33988.177435
-1.044732,39,33996.993967
-0.422195,41,34006.113407
-1.240603,30,34013.036048
-1.299166,31,34020.132057
-1.365402,36,34028.29051
-0.404585,40,34037.215018
-1.167536,9,34039.926937
-1.026601,5,34041.81058
-1.107527,23,34047.297076
-1.432004,30,34121.283149
-1.121988,14,34124.981434
-1.068258,4,34126.687946
-2.255595,192,34166.402567
-1.926123,37,34174.865692
-1.168006,3,34176.3174
-1.983783,163,34210.250344
-1.011834,36,34218.458188
-0.348582,36,34226.585458
-1.153664,12,34229.991209
-1.010604,3,34278.633487
-0.736539,142,34308.37149
-1.975304,32,34315.715417
-1.278231,26,34321.855172
-1.185989,26,34327.973779
-0.758662,135,34356.195139
-4.344215,330,34433.641811
-1.818232,14,34437.365188
-1.29587,51,34448.600074
-0.759351,94,34468.514786
-1.42402,4,34470.189374
-1.03694,3,34471.674119
-2.203704,288,34540.431026
-1.515384,154,34572.49395
-2.052795,41,34581.636184
-1.366762,31,34588.771721
-1.230737,25,34594.715802
-1.124123,8,34597.183205
-1.322964,36,34605.341817
-1.145323,110,34649.216346
-1.263223,38,34657.773983
-1.053518,166,34692.384247
-1.345135,59,34705.208393
-1.016785,21,34710.43384
-1.189618,5,34712.298621
-1.265153,27,34718.627486
-1.156676,15,34722.534868
-0.319428,33,34730.064862
-1.074333,3,34731.515346
-1.06878,18,34736.049825
-1.171272,13,34739.556376
-1.1367,16,34743.656569
-1.192921,21,34748.785563
-1.532163,65,34769.248469
-1.344212,10,34772.189503
-1.27365,29,34778.94271
-1.354764,37,34787.299291
-1.208945,17,34791.595942
-1.264198,36,34799.760595
-1.210284,19,34804.469968
-1.150227,3,34805.927888
-1.3717,54,34817.699934
-1.52092,79,34834.555234
-1.716611,53,34846.19426
-1.775627,151,34916.567633
-1.110082,17,34920.980184
-1.1938,24,34926.667128
0.387826,121,34952.042625
-1.97837,55,34964.039897
-3.521467,389,35108.653655
-1.982138,67,35123.117389
-1.562542,28,35129.634958
-1.381333,28,35136.230621
-1.142704,28,35142.822501
-1.559306,98,35163.596836
-1.642461,4,35165.298305
-1.381919,68,35180.004591
-1.704307,38,35208.77485
-1.860813,154,35240.906188
-1.498212,75,35257.117308
-1.452724,58,35269.727867
-1.668805,106,35292.107119
-1.746042,56,35304.4379
-1.860017,72,35346.059639
-1.560578,96,35366.447965
-1.687022,25,35372.403027
-1.363369,47,35382.798842
-1.420916,48,35393.373777
-1.377433,8,35395.918785
-1.212057,48,35406.534372
-1.50025,42,35416.004407
-1.278048,11,35419.106792
-2.583375,152,35512.867984
0.29202,145,35543.142206
-1.929881,32,35550.527278
-1.510943,91,35569.873468
-1.692358,27,35576.351855
-1.326768,35,35584.307098
-1.194023,4,35585.981776
-1.140763,17,35590.308975
0.276448,140,35619.556042
-1.925225,30,35646.427055
-0.625263,66,35660.673149
-1.931841,134,35688.712429
-1.657313,19,35693.481359
-1.430169,45,35703.498621
-1.38245,56,35715.730258
-1.386098,9,35718.413554
-2.927503,235,35827.376117
-1.557616,10,35830.28197
-0.29372,200,35871.871878
-2.126044,48,35882.567858
-1.542182,108,35905.4988
-1.80673,27,35911.952513
-1.166281,4,35913.634537
-1.449227,71,35980.272715
-1.430133,23,35985.811956
-1.642707,127,36012.623528
-2.002769,43,36022.208019
-1.256201,15,36026.118898
-1.201044,23,36031.663253
-1.185348,18,36036.182269
-1.132752,4,36037.854953
-1.225113,49,36048.73468
-1.326443,3,36050.199856
-1.216669,45,36060.167913
-1.295519,4,36061.825177
-2.441868,191,36161.309181
-2.809985,198,36202.415461
-1.525929,78,36219.046322
-1.224054,48,36229.639784
-1.220546,5,36231.487894
-1.028091,5,36233.371388
-1.433368,63,36247.036906
-1.316858,58,36299.874258
-1.333809,6,36301.948642
-1.109408,23,36307.48193
-1.334554,36,36315.644925
-2.019776,157,36348.462931
-2.102386,54,36360.241148
-1.430242,41,36369.419633
-1.699903,52,36380.816939
-1.000866,4,36382.475467
-2.327403,146,36454.152673
-1.643209,90,36473.309245
-1.8539,73,36489.004843
-1.006779,243,36539.196875
-2.923692,189,36641.247377
-1.066478,34,36649.098992
-0.331888,36,36657.233788
-0.320154,34,36665.065475
-0.355143,33,36672.563704
-0.306154,34,36680.435794
-0.309786,31,36687.683109
-0.316998,31,36694.82738
-0.315294,33,36702.438319
-0.511137,45,36712.416824
-1.586042,94,36775.32913
-1.877645,101,36796.757885
-1.593146,21,36801.959517
-1.61094,96,36822.362592
-1.573517,21,36827.625367
-0.522579,46,36837.822052
-0.356437,35,36845.744151
-0.321194,32,36853.144189
-1.067606,4,36854.826722
-1.070845,15,36858.733989
-1.214936,27,36865.075072
-1.497395,48,36908.799345
-1.233079,16,36912.887646
-1.409009,65,36926.943407
-1.563135,49,36937.735905
-1.666378,59,36950.560443
-1.266495,5,36952.532487
-2.420596,204,36994.789903
-2.020256,42,37004.239906
-1.072691,4,37005.900377
-1.032748,3,37007.372552
-1.420044,53,37082.382444
-2.421065,195,37122.896573
-1.001711,37,37131.238859
-1.246395,23,37136.810497
-1.229134,39,37145.591497
-2.482005,404,37252.844427
-1.967999,35,37260.83392
-2.603274,211,37304.508443
-1.838388,30,37311.428092
-1.125939,3,37312.915069
-1.198866,29,37352.362694
-1.647279,103,37374.127358
-0.931833,44,37384.000968
-1.102496,11,37387.070446
-1.056101,4,37388.754883
-1.231521,46,37398.930173
-2.969938,237,37447.826519
-2.020032,34,37507.804575
-1.386737,64,37521.641804
-1.417137,29,37528.393209
-0.519164,42,37537.767061
-0.3166,36,37545.934475
-1.113215,3,37547.493181
-0.393658,71,37562.730225
-0.646383,37,37571.204153
-0.358278,37,37579.579129
-0.349564,37,37588.022883
-1.457285,45,37598.02201
-1.091542,3,37599.581269
-1.125317,23,37605.118283
-1.160123,5,37607.001917
-1.216589,39,37615.783892
-1.446903,25,37651.814636
-1.119559,19,37656.550528
-2.997292,248,37707.730828
-1.98336,90,37726.88105
-1.536513,5,37728.750592
-1.043131,3,37730.225992
-1.14637,20,37735.157541
-1.482865,78,37751.804885
-1.498813,24,37757.5193
-1.282351,16,37794.076764
-1.175718,26,37800.200732
-1.147916,3,37801.699391
-1.154346,27,37808.018747
-1.233376,15,37811.887104
-1.281364,31,37819.010509
-1.525377,75,37835.081263
-2.606401,191,37874.763369
-1.942157,33,37882.273322
-1.045387,3,37883.734745
-1.205592,45,37893.73407
-1.37243,19,37898.488672
-1.132407,4,37900.176193
-1.360744,48,37922.755238
-1.174193,4,37924.421022
-2.573084,225,37971.074711
-1.873896,17,37975.379598
-1.45555,93,37995.126214
-1.755782,32,38002.448562
-1.096298,5,38004.320871
-1.052722,3,38005.788432
-1.225951,34,38013.532478
-1.57591,58,38026.151326
-1.254938,15,38061.597228
-0.644341,234,38109.907383
-1.819848,19,38114.711668
-1.807369,139,38143.664623
-1.927676,56,38155.995616
-1.949343,88,38211.500028
-1.361563,19,38216.229573
-1.512886,100,38237.33528
-1.739561,21,38242.458307
-1.245077,35,38250.40814
-1.299144,20,38255.299156
-1.15622,3,38256.759317
-1.485433,109,38279.633067
-2.051284,111,38302.950985
-2.179674,55,38341.391517
0.194672,146,38371.812843
-0.285913,128,38398.557715
-1.89635,31,38405.689501
-1.334765,38,38414.227579
-1.354721,23,38419.76258
-2.392451,126,38526.01179
-0.298229,33,38533.619861
-0.357769,33,38541.112315
-1.337078,36,38549.244538
-0.343909,37,38557.551337
-1.134504,10,38560.421196
-1.302108,31,38567.56623
-1.441497,83,38585.260945
-1.585496,41,38594.446283
-1.450957,50,38605.444096
-1.415126,24,38611.186288
-1.166866,4,38612.831324
-1.167035,35,38620.835513
-1.427865,49,38631.634812
-1.930299,82,38673.158664
-1.272766,22,38678.500512
-1.470142,93,38698.290366
-1.686837,18,38702.863552
-1.453973,80,38719.952617
-0.285814,156,38752.504335
-1.990266,28,38759.071578
-1.138642,8,38761.555958
-1.521288,65,38790.114341
-1.704124,96,38810.372363
