#{"t_start": 1753711455.9334316, "env_id": "None"}
r,l,t,reason
-3.079579,41,53416.471172,collision
-0.081571,101,53441.934496,goal_reached
-3.050584,39,53454.953738,collision
-5.379349,120,53484.32261,goal_reached
-23.337349,236,53537.090518,goal_reached
-7.308016,97,53561.867975,collision
-5.245463,152,53597.612032,goal_reached
-28.177712,316,53666.592999,collision
-3.587151,55,53682.769478,collision
-12.577581,145,53717.142345,collision
-4.378553,142,53750.86428,goal_reached
-4.808871,145,53785.304938,goal_reached
-1.063316,97,53810.149077,goal_reached
-3.746264,38,53822.986345,collision
-16.954233,206,53869.690848,goal_reached
-1.660611,114,53897.910152,goal_reached
-3.693001,50,53913.198038,collision
-5.313487,56,53929.558519,collision
-3.142106,42,53943.097116,collision
-9.264495,175,53983.506001,goal_reached
0.776342,129,54014.776937,goal_reached
-5.179054,110,54042.262451,collision
-29.133317,363,54120.762407,goal_reached
-10.568915,153,54156.846232,goal_reached
-20.04921,158,54194.026833,collision
-38.921914,446,54739.138999,collision
-19.791984,190,54782.60488,collision
-17.061231,244,54837.144145,goal_reached
-18.527551,213,54885.372788,goal_reached
-4.686443,131,54916.993307,goal_reached
-1.644159,84,54939.131247,collision
-0.322368,101,54964.617149,goal_reached
-0.516009,107,54991.446121,goal_reached
-6.687093,133,55023.513352,collision
-21.9805,228,55074.69787,goal_reached
-5.370821,92,55098.511211,collision
-8.480045,119,55127.646971,collision
-4.191693,98,55152.514066,collision
-7.519258,143,55186.393361,goal_reached
-7.871836,105,55212.815655,collision
0.291458,114,55241.034342,goal_reached
-4.528267,147,55275.900498,goal_reached
-5.509028,127,55306.745033,goal_reached
-6.709504,70,55326.013516,collision
-2.757986,41,55339.359915,collision
-3.328937,37,55351.927153,collision
1.197737,101,55377.402627,goal_reached
-26.432111,274,55437.998223,goal_reached
-6.501175,67,55456.623785,collision
-16.95702,215,55505.081577,goal_reached
-14.17481,171,55544.616432,collision
-10.576275,186,55587.377641,goal_reached
-24.151213,256,55644.294279,goal_reached
-10.135962,169,55683.581391,goal_reached
-8.341636,83,55705.513251,collision
-1.231465,113,55733.408511,goal_reached
-6.786207,61,55750.96689,collision
-14.595547,174,55791.259642,goal_reached
-7.890567,136,55823.941201,goal_reached
-11.420203,162,56429.318799,collision
-14.441682,179,56470.643041,goal_reached
-3.527691,68,56489.593858,collision
-3.790093,54,56505.738396,collision
-9.382534,173,56545.722501,goal_reached
-9.053539,96,56570.31617,collision
-14.578466,191,56614.091155,goal_reached
-1.85422,114,56642.278806,goal_reached
-2.600997,69,56661.426754,collision
-3.066392,29,56672.367373,collision
-2.772593,109,56699.451624,goal_reached
-2.514529,30,56710.685761,collision
-0.115091,112,56738.360043,goal_reached
-4.411696,75,56758.672406,collision
-34.406534,293,56822.99082,collision
-4.380266,48,56837.746109,collision
-0.782174,108,56864.745359,goal_reached
-2.560679,122,56894.561465,goal_reached
-8.947396,150,56930.040663,goal_reached
-1.052995,102,56955.807416,goal_reached
-21.380706,237,57008.935379,goal_reached
-5.918436,152,57044.769646,goal_reached
-11.774818,169,57084.084503,goal_reached
-4.218866,44,57098.132238,collision
-3.55155,60,57115.312889,collision
-6.469065,77,57135.917508,collision
-5.374146,136,57168.430543,goal_reached
-1.149196,99,57193.505465,goal_reached
-15.951606,181,57235.205424,goal_reached
-12.525063,152,57271.128772,collision
-1.696415,118,57300.050808,goal_reached
-1.91184,52,57315.734955,collision
-8.316159,140,57349.184869,goal_reached
-4.90305,101,57374.785205,collision
-2.975179,63,57392.610247,collision
-5.298181,100,57418.025668,collision
-3.003049,45,57432.213149,collision
-8.492925,87,57454.980556,collision
-20.007027,279,57516.730307,goal_reached
-2.656593,118,57545.719562,goal_reached
-17.986651,162,57583.655941,collision
-19.351498,245,57638.276897,goal_reached
-13.108664,160,58135.262872,goal_reached
-20.284981,201,58181.053958,collision
-8.276344,105,58207.338176,collision
-1.785537,143,58241.23043,goal_reached
-3.921551,120,58270.635281,goal_reached
-19.822669,189,58313.995391,collision
-5.790309,140,58347.368359,goal_reached
-8.168262,138,58380.46181,goal_reached
-1.550715,106,58407.048527,goal_reached
-28.851734,281,58469.123803,collision
-4.58406,137,58501.925581,goal_reached
-4.830101,94,58526.171358,collision
-3.809021,110,58553.39457,goal_reached
-15.970534,192,58597.417005,goal_reached
-1.119166,113,58625.425844,goal_reached
-14.110663,159,58662.819774,collision
-5.229981,71,58682.300039,collision
-0.863394,126,58712.956779,goal_reached
-4.158594,66,58731.438954,collision
