#{"t_start": 1752340132.2750878, "env_id": "None"}
r,l,t,reason
1.576689,134,38340.639946,goal_reached
3.915967,175,38380.9785,goal_reached
3.322073,239,38434.31687,goal_reached
3.764662,172,38474.077603,goal_reached
-2.063532,143,38508.013618,collision
0.172095,524,38618.389725,goal_reached
1.096507,225,38668.756525,goal_reached
-3.60427,257,38725.506007,collision
3.997631,204,38771.682673,goal_reached
-2.980504,478,38872.967269,goal_reached
0.431854,163,38911.016411,collision
0.871343,150,38946.129548,goal_reached
4.007217,227,38996.876325,goal_reached
3.99013,195,39041.234922,goal_reached
0.074662,192,39085.056284,goal_reached
1.88561,299,39150.353698,goal_reached
2.891337,119,39179.637486,goal_reached
-0.684641,283,39241.831499,goal_reached
3.769046,134,39273.964682,goal_reached
1.923353,264,39871.352219,goal_reached
0.235148,155,39907.624249,collision
2.584803,112,39935.242517,goal_reached
0.431824,124,39965.431497,collision
3.086598,216,40014.027463,goal_reached
1.645793,233,40066.135989,goal_reached
1.332228,364,40144.474113,goal_reached
3.479849,133,40176.400111,goal_reached
-1.244706,78,40197.332296,collision
2.803329,132,40228.999565,goal_reached
4.185935,170,40268.349475,goal_reached
-1.865479,127,40299.118706,collision
4.201249,174,40339.257534,goal_reached
3.000158,101,40364.647101,goal_reached
-1.702435,120,40393.981236,collision
3.81572,152,40429.71061,goal_reached
3.639318,172,40469.438147,goal_reached
3.972532,160,40506.830949,goal_reached
-1.011623,28,40517.644584,collision
0.59399,292,40581.527772,goal_reached
-0.963855,55,40597.818651,collision
3.159392,110,40624.939851,goal_reached
-0.667567,114,40652.953235,collision
1.324185,270,40712.284254,goal_reached
2.036017,184,40754.497697,goal_reached
2.960291,176,40794.877632,goal_reached
0.526552,256,40851.230696,goal_reached
3.965053,172,40890.897664,goal_reached
2.600239,101,40916.316328,goal_reached
3.033302,165,40954.764776,goal_reached
-1.613919,127,40985.458194,collision
2.818466,178,41531.271507,goal_reached
3.978135,161,41568.774342,goal_reached
0.322609,117,41597.548182,collision
2.450089,220,41646.8927,goal_reached
3.433361,109,41673.988749,goal_reached
3.692416,218,41723.143455,goal_reached
1.356524,394,41807.459125,goal_reached
3.53696,137,41840.160398,goal_reached
-1.115972,93,41863.994966,collision
2.892391,162,41901.70832,goal_reached
2.097927,238,41954.649847,goal_reached
1.299955,257,42011.500115,goal_reached
4.091105,198,42056.511637,goal_reached
2.731253,242,42110.348904,goal_reached
-1.446489,68,42129.18419,collision
-0.376557,68,42147.904968,collision
2.903235,186,42190.480978,goal_reached
3.392521,195,42234.961799,goal_reached
-1.681785,117,42263.670371,collision
-0.581734,63,42281.448823,collision
2.430938,271,42341.085801,goal_reached
-1.48996,142,42374.817269,collision
3.911112,165,42413.278505,goal_reached
2.899306,110,42440.485574,goal_reached
0.460087,150,42475.871454,goal_reached
-0.824383,164,42514.039988,collision
-2.227632,80,42535.076212,collision
-1.674588,76,42555.316152,collision
3.237531,131,42586.708772,goal_reached
0.411459,127,42617.415349,collision
